Department,LPO NO,Check,x,NAME OF THE SUPPLIER, AMOUNT ,Date,TENDER NO.
CC,10397,10397,TRUE,Karakana Outlets Ltd,"282,500.00",11-Oct-2021,RBA/RFQ/PROMO/613/1440/2021
HCDA,10398,10398,TRUE,Total Energies Marketing Kenya PLC,"186,262.30",12-Aug-2021,CONTRACT
HCDA,10399,10399,TRUE,Total Energies Marketing Kenya PLC,"200,763.70",12-Aug-2021,CONTRACT
MC,10400,10400,TRUE,PineHill Consulting Limited,"922,000.00",20-Dec-2021,CONTRACT
MC,10401,10401,TRUE,PineHill Consulting Limited,"1,753,750.00",20-Dec-2021,CONTRACT
MC,10402,10402,TRUE,Psychological Health Services,"1,075,000.00",20-Dec-2021,CONTRACT
HCDA,10403,10403,TRUE,Postal Corporation of Kenya,"58,000.00",20-Dec-2021,CONTRACT
HCDA,10404,10404,TRUE,Koba Waters Limited,"60,250.00",20-Dec-2021,CONTRACT
HCDA,10405,10405,TRUE,Kipevu Restaurant Ltd,"230,240.00",20-Dec-2021,CONTRACT
HCDA,10406,10406,TRUE,PTG Travel Limited,"178,257.55",20-Dec-2021,CONTRACT
HCDA,10407,10407,TRUE,Jimcab Services Limited,"128,929.36",20-Dec-2021,CONTRACT
HCDA,10408,10408,TRUE,Reeziky Merchants,"200,618.00",20-Dec-2021,CONTRACT
HCDA,10409,10409,TRUE,Reeziky Merchants,"76,851.00",20-Dec-2021,CONTRACT
Research,10410,10410,TRUE,Rex Kiosk,"20,955.00",21-Dec-2021,CONTRACT
,Missing,10411,FALSE,,,0-Jan-1900,
Research,10412,10412,TRUE,Lake Naivasha Resort,"1,250,000.00",26-Nov-2021,RBA/RFQ/CONFERENCE/613/1443/2021
HCDA,10413,10413,TRUE,Media Council of Kenya,"1,280,000.00",21-Dec-2021,RBA/DP/TRAINING/613/1446/2021
Research,10414,10414,TRUE,Law Africa Publishing Ltd,"486,000.00",22-Dec-2021,RBA/DP/CONSOLIDATEDLAW/613/1456/2021
MC,10415,10415,TRUE,Psychological Health Services,"1,380,000.00",22-Dec-2021,
CC,10416,10416,TRUE,Standard Group PLC,"216,920.00",11-Nov-2021,
CC,10417,10417,TRUE,Nation Media Group,"216,920.00",11-Nov-2021,
HCDA,10418,10418,TRUE,Axis Engineering Services Services Ltd," 24,360.00 ",23-Dec-2021,
,Missing,10419,FALSE,,,0-Jan-1900,
HCDA,10420,10420,TRUE,Kenya Medical Research Institute,"105,000.00",1-Nov-2022,Government Agency
HCDA,10421,10421,TRUE,Subaru Kenya,"20,910.82",1-Nov-2022,RBA/DP/MVSERVICE/613/1449/2021
HCDA,10422,10422,TRUE,Munishiram International Business Machine,"43,500.00",1-Nov-2022,RBA/LVP/FRANKING/613/11/1/2022
HCDA,10423,10423,TRUE,Jimcab Services Limited,"74,771.28",1-Nov-2022,CONTRACT
HCDA,10424,10424,TRUE,Reeziky Merchants,"197,624.00",1-Dec-2022,CONTRACT
HCDA,10425,10425,TRUE,Reeziky Merchants,"76,851.00",1-Dec-2022,CONTRACT
HCDA,10426,10426,TRUE,Text Book Center,"9,720.00",13-Jan-2022,RBA/LVP/ID-HOLDERS/613/13/1/2022
